OPEN,HIGH,LOW,CLOSE
1.2051,1.2051,1.2049,1.2051
1.205,1.2053,1.205,1.2053
1.2052,1.2053,1.2052,1.2052
1.2053,1.2053,1.2051,1.2051
1.205,1.2052,1.2047,1.2047
1.2046,1.2051,1.2046,1.2051
1.205,1.2053,1.2049,1.2052
1.2053,1.2053,1.2049,1.2051
1.205,1.2052,1.205,1.2052
1.2052,1.2052,1.205,1.2051
1.2052,1.2053,1.2051,1.2053
1.2054,1.2054,1.2052,1.2052
1.2051,1.2052,1.205,1.2052
1.2052,1.2052,1.2052,1.2052
1.2051,1.2054,1.2051,1.2054
1.2053,1.2056,1.2052,1.2056
1.2057,1.2057,1.2055,1.2056
1.2055,1.2059,1.2055,1.2058
1.2057,1.2058,1.2056,1.2056
1.2057,1.2057,1.2056,1.2056
1.2056,1.2056,1.2054,1.2054
1.2054,1.2055,1.2054,1.2055
1.2054,1.2055,1.2054,1.2055
1.2055,1.2057,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2056,1.2056,1.2054,1.2054
1.2054,1.2054,1.2048,1.2049
1.205,1.2053,1.205,1.2052
1.2052,1.2054,1.2052,1.2053
1.2053,1.2053,1.205,1.205
1.205,1.205,1.205,1.205
1.205,1.205,1.205,1.205
1.2049,1.205,1.2049,1.205
1.2049,1.2052,1.2049,1.2051
1.205,1.2051,1.2049,1.2049
1.2048,1.2049,1.2048,1.2049
1.2049,1.2049,1.2048,1.2049
1.2048,1.2048,1.2045,1.2045
1.2046,1.2046,1.2043,1.2043
1.2042,1.2047,1.2042,1.2045
1.2044,1.2047,1.2043,1.2045
1.2044,1.2047,1.2044,1.2046
1.2046,1.2048,1.2046,1.2048
1.2048,1.2048,1.2046,1.2047
1.2046,1.2047,1.2046,1.2047
1.2047,1.2047,1.2046,1.2047
1.2047,1.2047,1.2045,1.2046
1.2045,1.2046,1.2045,1.2045
1.2044,1.2044,1.2043,1.2044
1.2043,1.2044,1.2043,1.2044
1.2043,1.2044,1.2043,1.2044
1.2043,1.2043,1.2042,1.2043
1.2043,1.2044,1.2043,1.2044
1.2045,1.2045,1.2044,1.2044
1.2044,1.2044,1.2041,1.2041
1.2041,1.2041,1.2041,1.2041
1.2042,1.2043,1.2042,1.2043
1.2042,1.2042,1.2041,1.2041
1.2041,1.2041,1.2041,1.2041
1.2041,1.2042,1.2041,1.2042
1.2043,1.2043,1.2043,1.2043
1.2043,1.2045,1.2043,1.2045
1.2045,1.2047,1.2045,1.2046
1.2046,1.2046,1.2046,1.2046
1.2046,1.2047,1.2045,1.2046
1.2046,1.2046,1.2046,1.2046
1.2046,1.2046,1.2045,1.2045
1.2044,1.2045,1.2044,1.2045
1.2045,1.2046,1.2045,1.2046
1.2046,1.2046,1.2046,1.2046
1.2046,1.2046,1.2044,1.2044
1.2045,1.2045,1.2044,1.2045
1.2044,1.2044,1.2044,1.2044
